Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea	Total
OG0000175	0	5	4	1	2	12
OG0000176	0	11	0	0	1	12
OG0000177	0	10	0	0	2	12
OG0000178	0	3	0	0	9	12
OG0000179	0	8	2	0	2	12
OG0000180	0	2	5	2	3	12
OG0000181	0	2	4	0	6	12
OG0000182	0	9	0	2	1	12
OG0000183	0	5	2	1	4	12
OG0000184	0	2	1	8	1	12
OG0000185	0	1	9	0	2	12
OG0000186	0	1	10	0	1	12
OG0000187	0	1	1	1	9	12
OG0000188	0	0	3	8	1	12
OG0000189	9	0	0	0	2	11
OG0000190	3	2	2	1	3	11
OG0000191	6	1	4	0	0	11
OG0000192	2	2	4	0	3	11
OG0000193	7	1	1	1	1	11
OG0000194	8	2	0	1	0	11
OG0000195	5	2	0	2	2	11
OG0000196	6	1	2	1	1	11
OG0000197	3	2	2	2	2	11
OG0000198	8	2	0	1	0	11
OG0000199	1	4	2	1	3	11
OG0000200	8	1	2	0	0	11
OG0000201	1	2	1	1	6	11
OG0000202	4	4	0	1	2	11
OG0000203	3	3	2	1	2	11
OG0000204	0	7	2	0	2	11
OG0000205	0	4	2	0	5	11
OG0000206	0	8	1	1	1	11
OG0000207	0	6	2	0	3	11
OG0000208	0	11	0	0	0	11
OG0000209	0	1	2	5	3	11
OG0000210	0	4	4	0	3	11
OG0000211	0	3	2	4	2	11
OG0000212	0	3	3	4	1	11
OG0000213	0	6	2	0	3	11
OG0000214	0	3	4	1	3	11
OG0000215	0	4	1	1	5	11
OG0000216	0	3	7	0	1	11
OG0000217	0	2	3	3	3	11
OG0000218	0	2	4	2	3	11
OG0000219	0	3	4	0	4	11
OG0000220	0	3	5	1	2	11
OG0000221	0	1	0	0	10	11
OG0000222	0	3	4	0	4	11
OG0000223	0	2	9	0	0	11
OG0000224	0	2	9	0	0	11
OG0000225	0	2	5	0	4	11
OG0000226	0	1	7	0	3	11
OG0000227	0	3	5	0	3	11
OG0000228	0	0	11	0	0	11
OG0000229	8	1	0	0	1	10
OG0000230	6	1	1	1	1	10
OG0000231	3	3	2	1	1	10
OG0000232	6	2	0	0	2	10
OG0000233	4	1	2	1	2	10
OG0000234	5	1	1	1	2	10
OG0000235	3	1	2	1	3	10
OG0000236	5	2	1	1	1	10
OG0000237	5	1	1	1	2	10
OG0000238	3	2	1	0	4	10
OG0000239	1	2	4	0	3	10
OG0000240	5	1	2	1	1	10
OG0000241	3	1	3	1	2	10
OG0000242	2	3	2	1	2	10
OG0000243	5	3	1	1	0	10
OG0000244	2	2	3	1	2	10
OG0000245	5	1	1	1	2	10
OG0000246	6	1	1	1	1	10
OG0000247	2	2	2	2	2	10
OG0000248	3	4	1	0	2	10
OG0000249	6	3	0	0	1	10
OG0000250	2	1	0	5	2	10
OG0000251	4	1	2	1	2	10
OG0000252	6	1	1	1	1	10
OG0000253	3	1	4	1	1	10
OG0000254	3	2	3	1	1	10
OG0000255	3	2	2	0	3	10
OG0000256	4	1	2	1	2	10
OG0000257	3	2	3	1	1	10
OG0000258	1	1	2	1	5	10
OG0000259	0	3	2	1	4	10
OG0000260	0	1	8	0	1	10
OG0000261	0	5	3	0	2	10
OG0000262	0	2	4	0	4	10
OG0000263	0	3	2	2	3	10
OG0000264	0	3	2	0	5	10
OG0000265	0	3	4	2	1	10
OG0000266	0	4	3	0	3	10
OG0000267	0	4	4	1	1	10
OG0000268	0	2	3	1	4	10
OG0000269	0	6	1	0	3	10
OG0000270	0	4	4	0	2	10
OG0000271	0	3	4	0	3	10
OG0000272	0	1	2	0	7	10
OG0000273	0	8	0	0	2	10
OG0000274	0	4	1	0	5	10
OG0000275	0	4	3	1	2	10
OG0000276	0	5	3	1	1	10
OG0000277	0	4	3	1	2	10
OG0000278	0	8	1	0	1	10
OG0000279	0	4	2	0	4	10
OG0000280	0	2	6	0	2	10
OG0000281	0	2	4	0	4	10
OG0000282	0	6	2	0	2	10
OG0000283	0	2	4	2	2	10
OG0000284	0	2	2	1	5	10
OG0000285	0	1	7	0	2	10
OG0000286	0	0	8	0	2	10
OG0000287	0	0	9	1	0	10
OG0000288	3	3	1	0	2	9
OG0000289	3	2	2	1	1	9
OG0000290	3	2	1	1	2	9
